session_id,anomaly_description,value,unit
606406233,User actively charging for longer than 12 hours,12:57:14,hh:mm:ss
607280913,User actively charging for longer than 12 hours,12:10:27,hh:mm:ss
607532873,User actively charging for longer than 12 hours,13:00:53,hh:mm:ss
607220793,User plugged in for longer than 24 hours,41:25:43,hh:mm:ss
608081523,User actively charging for longer than 12 hours,17:36:07,hh:mm:ss
608035603,User plugged in for longer than 24 hours,25:12:28,hh:mm:ss
608889223,User actively charging for longer than 12 hours,13:30:05,hh:mm:ss
609393943,User plugged in for longer than 24 hours,29:56:09,hh:mm:ss
609857113,User actively charging for longer than 12 hours,12:24:00,hh:mm:ss
610702433,User actively charging for longer than 12 hours,16:49:08,hh:mm:ss
610928153,User actively charging for longer than 12 hours,13:19:11,hh:mm:ss
611542333,User plugged in for longer than 24 hours,40:23:44,hh:mm:ss
613737533,User actively charging for longer than 12 hours,15:52:38,hh:mm:ss
613768613,User plugged in for longer than 24 hours,24:37:17,hh:mm:ss
616624543,User actively charging for longer than 12 hours,12:59:16,hh:mm:ss
617066673,User actively charging for longer than 12 hours,12:20:54,hh:mm:ss
618694103,User plugged in for longer than 24 hours,26:00:39,hh:mm:ss
619920703,User plugged in for longer than 24 hours,70:16:15,hh:mm:ss
620502903,User actively charging for longer than 12 hours,17:12:18,hh:mm:ss
620759283,User actively charging for longer than 12 hours,13:27:48,hh:mm:ss
620511183,User plugged in for longer than 24 hours,43:37:22,hh:mm:ss
621253473,User actively charging for longer than 12 hours,12:36:27,hh:mm:ss
621726633,User actively charging for longer than 12 hours,13:27:19,hh:mm:ss
622038073,User actively charging for longer than 12 hours,16:55:44,hh:mm:ss
621927263,User plugged in for longer than 24 hours,42:55:13,hh:mm:ss
623687923,User actively charging for longer than 12 hours,13:04:52,hh:mm:ss
623724253,User actively charging for longer than 12 hours,13:59:49,hh:mm:ss
624053733,User actively charging for longer than 12 hours,13:45:31,hh:mm:ss
624050923,User actively charging for longer than 12 hours,12:46:25,hh:mm:ss
623970423,User plugged in for longer than 24 hours,41:15:22,hh:mm:ss
624045883,User plugged in for longer than 24 hours,38:28:20,hh:mm:ss
624607953,User actively charging for longer than 12 hours,12:26:41,hh:mm:ss
625710363,User actively charging for longer than 12 hours,17:28:27,hh:mm:ss
626001983,User actively charging for longer than 12 hours,12:15:06,hh:mm:ss
628660893,User actively charging for longer than 12 hours,12:42:15,hh:mm:ss
628932093,User plugged in for longer than 24 hours,41:12:29,hh:mm:ss
629355863,User actively charging for longer than 12 hours,13:38:34,hh:mm:ss
629652133,User actively charging for longer than 12 hours,13:32:33,hh:mm:ss
633769203,User actively charging for longer than 12 hours,16:03:31,hh:mm:ss
634503683,User actively charging for longer than 12 hours,13:04:01,hh:mm:ss
634761453,User plugged in for longer than 24 hours,46:03:03,hh:mm:ss
637783203,User plugged in for longer than 24 hours,41:10:39,hh:mm:ss
637971223,User plugged in for longer than 24 hours,38:17:44,hh:mm:ss
667752263,User actively charging for longer than 12 hours,13:45:50,hh:mm:ss
667728533,User actively charging for longer than 12 hours,12:31:31,hh:mm:ss
667816183,User actively charging for longer than 12 hours,18:47:49,hh:mm:ss
668993843,User actively charging for longer than 12 hours,12:18:49,hh:mm:ss
670537903,User actively charging for longer than 12 hours,13:11:24,hh:mm:ss
670555073,User actively charging for longer than 12 hours,13:23:22,hh:mm:ss
672824603,User actively charging for longer than 12 hours,12:22:13,hh:mm:ss
673668123,User actively charging for longer than 12 hours,12:09:14,hh:mm:ss
675058363,User actively charging for longer than 12 hours,13:34:46,hh:mm:ss
674976843,User plugged in for longer than 24 hours,41:05:04,hh:mm:ss
675386373,User plugged in for longer than 24 hours,33:46:19,hh:mm:ss
676577643,User actively charging for longer than 12 hours,12:22:43,hh:mm:ss
677286493,User actively charging for longer than 12 hours,12:02:54,hh:mm:ss
678419913,User plugged in for longer than 24 hours,27:00:20,hh:mm:ss
679484013,User actively charging for longer than 12 hours,16:08:00,hh:mm:ss
679708033,User actively charging for longer than 12 hours,13:59:58,hh:mm:ss
679740223,User plugged in for longer than 24 hours,26:56:06,hh:mm:ss
679740223,User actively charging for longer than 12 hours,26:55:37,hh:mm:ss
683413703,User actively charging for longer than 12 hours,12:00:59,hh:mm:ss
684184033,User plugged in for longer than 24 hours,33:21:31,hh:mm:ss
685665823,User actively charging for longer than 12 hours,12:32:12,hh:mm:ss
685887673,User plugged in for longer than 24 hours,41:18:14,hh:mm:ss
686267643,User actively charging for longer than 12 hours,13:08:35,hh:mm:ss
688509053,User actively charging for longer than 12 hours,12:23:29,hh:mm:ss
